symbol,date,Close,High,Low,Open,Volume
,,GOOG,GOOG,GOOG,GOOG,GOOG
GOOG,2025-04-02,158.66928100585938,160.0825755197471,156.3420764618875,156.77156814980734,17113300
GOOG,2025-04-03,152.44676208496094,154.50128410252282,151.99729014847443,152.6515177972455,28416100
GOOG,2025-04-04,147.56263732910156,152.90620528213597,147.36286524523692,149.72003257441966,39832200
GOOG,2025-04-07,149.0608367919922,154.74399291339475,142.4887345209642,143.21785385891903,47823000
GOOG,2025-04-08,146.40402221679688,154.25458634292005,145.03567187522165,153.3906193497636,35304400
GOOG,2025-04-09,160.86663818359375,161.67566330567902,145.63494645699154,146.15432644221391,46479500
GOOG,2025-04-10,155.1834716796875,159.83788095466207,152.01727912941968,158.56940133670318,35270500
GOOG,2025-04-11,159.2086181640625,159.66807259358117,155.39821125744413,155.39821125744413,22582000
GOOG,2025-04-14,161.27615356445312,163.83307779968658,159.72801131938692,162.11514147155086,18255900
GOOG,2025-04-15,158.48948669433594,161.85545114666877,157.45574086405986,161.37603168621683,15690800
GOOG,2025-04-16,155.3133087158203,157.99008382713703,153.72522130692107,155.28334595266895,16921500
GOOG,2025-04-17,153.17588806152344,156.88144081875564,150.71883464776334,156.42198635455088,19513400
GOOG,2025-04-21,149.68008422851562,150.87864050474218,148.22183034478553,150.78375333899587,16147800
GOOG,2025-04-22,153.71522521972656,154.42437951639937,150.6888641849861,150.8886362621129,15910300
GOOG,2025-04-23,157.53065490722656,159.82789675498066,156.16230449916227,157.72042924654332,18575700
GOOG,2025-04-24,161.27615356445312,161.51587092668274,157.90020643862147,158.33468177478025,30787500
GOOG,2025-04-25,163.65328979492188,168.03801860512272,162.80430419831342,166.89938788476556,35148100
GOOG,2025-04-28,162.22500610351562,164.7519675124574,160.18746191545455,164.06279344811506,20871200
GOOG,2025-04-29,161.8654327392578,162.4846835071933,159.19864009739626,161.85045135746807,15955200
GOOG,2025-04-30,160.69683837890625,161.1802508371438,156.9663219285134,159.668076193593,20639500
GOOG,2025-05-01,162.5945587158203,163.74318724848555,160.73679109542547,162.32489383255603,21904300
GOOG,2025-05-02,165.61093139648438,166.49986228142632,163.4635187136773,164.75696214937838,16844900
GOOG,2025-05-05,165.85064697265625,166.89938941322708,164.2725420579775,164.31748620308443,15309300
GOOG,2025-05-06,165.0016632080078,166.53982286878713,162.93415630768814,163.7631616655552,10691900
GOOG,2025-05-07,152.61656188964844,166.78952879122355,149.3105380862026,165.87063510873034,78729800
GOOG,2025-05-08,155.56301879882812,157.22102959109037,153.91500575525347,155.73281288134118,38387500
GOOG,2025-05-09,154.1946563720703,156.2421829513297,153.6453136535378,155.36324984214707,22871000
GOOG,2025-05-12,159.38841247558594,160.24738058211028,157.7004390257499,158.90899302371432,31884900
GOOG,2025-05-13,160.69683837890625,161.86543187366587,157.39081473091227,159.7280017204315,24944300
GOOG,2025-05-14,166.60972595214844,168.13788781928253,160.7367805863974,161.11632923643336,31769200
GOOG,2025-05-15,165.201416015625,167.30888337648878,163.64329137735027,166.93933247241503,22717600
GOOG,2025-05-16,167.22898864746094,170.44512417357606,166.7495691671836,168.72718785873926,36271400
GOOG,2025-05-19,167.66845703125,167.74836281526606,165.21640257843083,165.5160454583736,21374700
GOOG,2025-05-20,165.1215362548828,169.4762873279752,164.06279601110305,167.55859416793888,33563300
GOOG,2025-05-21,169.8558349609375,174.32046979875315,164.69204354414558,164.7519690737049,45567600
GOOG,2025-05-22,171.77352905273438,177.91615495430474,171.67365824974368,173.14189469389407,45024100
GOOG,2025-05-23,169.3863983154297,170.99946494467622,169.05679266175375,170.07557238761842,24963600
GOOG,2025-05-27,173.7711181640625,174.080743544611,171.004454754312,171.09434304405778,24341300
GOOG,2025-05-28,173.17185974121094,176.2681290031992,172.80729244229028,173.77113028846478,25999200
GOOG,2025-05-29,172.7523651123047,175.18942304638622,171.5737737985015,174.789909349775,21174700
GOOG,2025-05-30,172.64248657226562,173.2317745748415,168.3226668701471,172.20301238713458,36258300
GOOG,2025-06-02,170.1654510498047,170.8566215844937,168.447514840874,168.8070832390332,24742900
GOOG,2025-06-03,167.5086669921875,169.59615424138852,166.47988950965254,168.66227916887598,25386700
GOOG,2025-06-04,169.18663024902344,169.37640457405112,167.59354398214708,168.07796230217642,18508700
GOOG,2025-06-05,169.6061248779297,172.15306641407983,169.14668568533537,171.41394936627097,25375400
GOOG,2025-06-06,174.70999145507812,175.618902578423,172.09314187053795,172.09314187053795,22258100
GOOG,2025-06-09,177.6300048828125,177.9149932861328,175.66000366210938,175.8699951171875,18817600
GOOG,2025-06-10,180.00999450683594,182.44500732421875,176.47500610351562,177.75999450683594,32908000
GOOG,2025-06-11,178.7899932861328,181.75,178.0,181.22999572753906,18994400
GOOG,2025-06-12,176.97000122070312,178.1300048828125,176.11000061035156,177.47999572753906,17345900
GOOG,2025-06-13,175.8800048828125,178.34300231933594,173.57000732421875,173.5800018310547,20873200
GOOG,2025-06-16,177.94000244140625,178.2449951171875,175.82000732421875,175.90499877929688,18132500
GOOG,2025-06-17,177.22999572753906,178.71499633789062,175.94000244140625,177.0,17656100
GOOG,2025-06-18,173.97999572753906,177.82400512695312,172.83999633789062,177.27999877929688,32531800
GOOG,2025-06-20,167.72999572753906,175.36500549316406,166.27000427246094,174.86500549316406,55402600
GOOG,2025-06-23,166.00999450683594,168.47999572753906,163.3300018310547,167.32000732421875,36975600
GOOG,2025-06-24,167.74000549316406,169.25,166.91000366210938,167.68499755859375,27310300
GOOG,2025-06-25,171.49000549316406,173.36000061035156,168.56100463867188,168.64999389648438,23627400
GOOG,2025-06-26,174.42999267578125,174.64999389648438,170.86000061035156,173.38499450683594,25909100
GOOG,2025-06-27,178.27000427246094,178.83999633789062,172.7100067138672,174.6300048828125,74053100
GOOG,2025-06-30,177.38999938964844,181.5800018310547,175.5,180.78500366210938,43964600
GOOG,2025-07-01,176.91000366210938,177.22000122070312,174.66000366210938,176.80499267578125,25778500
GOOG,2025-07-02,179.75999450683594,179.93499755859375,176.08999633789062,176.5449981689453,19325900
GOOG,2025-07-03,180.5500030517578,180.77000427246094,178.19000244140625,179.82000732421875,13287400
GOOG,2025-07-07,177.55999755859375,180.33999633789062,176.63999938964844,180.13499450683594,20991400
GOOG,2025-07-08,175.16000366210938,178.7899932861328,173.9199981689453,178.77999877929688,24108600
GOOG,2025-07-09,177.66000366210938,180.27999877929688,173.8800048828125,176.11000061035156,31288000
GOOG,2025-07-10,178.6999969482422,179.58999633789062,175.74000549316406,176.6699981689453,24693700
GOOG,2025-07-11,181.30999755859375,182.61000061035156,177.54100036621094,177.91000366210938,23975700
GOOG,2025-07-14,182.80999755859375,184.72999572753906,180.71099853515625,182.07000732421875,20990400
GOOG,2025-07-15,183.10000610351562,185.41000366210938,182.38999938964844,183.94000244140625,23911600
GOOG,2025-07-16,183.77000427246094,185.3350067138672,183.0800018310547,184.32000732421875,21152600
GOOG,2025-07-17,184.6999969482422,185.18699645996094,181.5,183.11500549316406,21654400
GOOG,2025-07-18,185.94000244140625,187.36000061035156,184.72999572753906,186.6199951171875,21011300
GOOG,2025-07-21,189.47000122070312,190.83999633789062,187.0500030517578,187.1199951171875,11951201
