symbol,date,Close,High,Low,Open,Volume
,,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
NASDAQ,2020-01-02,9092.1904296875,9093.4296875,9010.8896484375,9039.4599609375,2862700000
NASDAQ,2020-01-03,9020.76953125,9065.759765625,8976.4296875,8976.4296875,2586520000
NASDAQ,2020-01-06,9071.4697265625,9072.41015625,8943.5,8943.5,2810450000
NASDAQ,2020-01-07,9068.580078125,9091.9296875,9042.5498046875,9076.6396484375,2381740000
NASDAQ,2020-01-08,9129.240234375,9168.8896484375,9059.3798828125,9068.0302734375,2472620000
NASDAQ,2020-01-09,9203.4296875,9215.9501953125,9158.5,9202.26953125,2540960000
NASDAQ,2020-01-10,9178.8603515625,9235.2001953125,9164.66015625,9232.9501953125,2382900000
NASDAQ,2020-01-13,9273.9296875,9274.490234375,9193.0595703125,9213.7197265625,2536820000
NASDAQ,2020-01-14,9251.330078125,9298.330078125,9226.490234375,9270.6103515625,2553160000
NASDAQ,2020-01-15,9258.7001953125,9298.8203125,9231.1396484375,9253.759765625,2443220000
NASDAQ,2020-01-16,9357.1298828125,9357.919921875,9301.3203125,9313.4501953125,2312110000
NASDAQ,2020-01-17,9388.9404296875,9393.48046875,9346.8095703125,9392.3701171875,2542540000
NASDAQ,2020-01-21,9370.8095703125,9397.580078125,9350.2001953125,9361.0703125,2686610000
NASDAQ,2020-01-22,9383.76953125,9439.2900390625,9375.1298828125,9413.6103515625,2454580000
NASDAQ,2020-01-23,9402.48046875,9409.2001953125,9334.1298828125,9377.7197265625,2465850000
NASDAQ,2020-01-24,9314.91015625,9451.4296875,9273.23046875,9446.2099609375,2622970000
NASDAQ,2020-01-27,9139.3095703125,9185.4501953125,9088.0400390625,9092.4599609375,2593910000
NASDAQ,2020-01-28,9269.6796875,9288.8701171875,9182.330078125,9201.8203125,2169020000
NASDAQ,2020-01-29,9275.16015625,9329.1201171875,9249.0400390625,9318.259765625,2234620000
NASDAQ,2020-01-30,9298.9296875,9303.0,9185.1796875,9211.150390625,2345370000
NASDAQ,2020-01-31,9150.9404296875,9324.7998046875,9123.2197265625,9324.330078125,2696090000
NASDAQ,2020-02-03,9273.400390625,9299.849609375,9188.5498046875,9190.7197265625,2427320000
NASDAQ,2020-02-04,9467.9697265625,9485.3798828125,9374.0498046875,9398.3896484375,2447340000
NASDAQ,2020-02-05,9508.6796875,9574.9404296875,9454.9296875,9574.099609375,2470240000
NASDAQ,2020-02-06,9572.150390625,9575.66015625,9505.6796875,9540.98046875,2313860000
NASDAQ,2020-02-07,9520.509765625,9570.08984375,9496.5302734375,9526.6396484375,2243720000
NASDAQ,2020-02-10,9628.3896484375,9628.66015625,9493.6298828125,9493.6298828125,2187520000
NASDAQ,2020-02-11,9638.9404296875,9714.740234375,9617.2099609375,9680.8896484375,2450070000
NASDAQ,2020-02-12,9725.9599609375,9728.76953125,9666.6904296875,9688.599609375,2366510000
NASDAQ,2020-02-13,9711.9697265625,9748.3203125,9650.01953125,9657.0400390625,2254870000
NASDAQ,2020-02-14,9731.1796875,9746.3603515625,9693.0498046875,9728.900390625,2226720000
NASDAQ,2020-02-18,9732.740234375,9747.6796875,9675.7998046875,9679.0400390625,2279420000
NASDAQ,2020-02-19,9817.1796875,9838.3701171875,9777.099609375,9782.8095703125,2470860000
NASDAQ,2020-02-20,9750.9697265625,9820.8603515625,9636.9404296875,9799.2001953125,2745730000
NASDAQ,2020-02-21,9576.58984375,9715.9501953125,9542.330078125,9708.009765625,2750160000
NASDAQ,2020-02-24,9221.2802734375,9322.8798828125,9166.009765625,9188.4404296875,3188590000
NASDAQ,2020-02-25,8965.6103515625,9315.259765625,8940.490234375,9301.2001953125,3595520000
NASDAQ,2020-02-26,8980.7802734375,9148.3203125,8927.7998046875,9011.5498046875,3587950000
NASDAQ,2020-02-27,8566.48046875,8904.1103515625,8562.0498046875,8744.0302734375,4559900000
NASDAQ,2020-02-28,8567.3701171875,8591.8203125,8264.16015625,8269.740234375,5320020000
NASDAQ,2020-03-02,8952.169921875,8952.8095703125,8543.349609375,8667.1396484375,4249020000
NASDAQ,2020-03-03,8684.08984375,9070.3203125,8602.8896484375,8965.099609375,4336700000
NASDAQ,2020-03-04,9018.08984375,9019.9599609375,8757.66015625,8834.099609375,3634760000
NASDAQ,2020-03-05,8738.58984375,8921.080078125,8677.3896484375,8790.08984375,3763860000
NASDAQ,2020-03-06,8575.6201171875,8612.3603515625,8375.1298828125,8469.01953125,4292730000
NASDAQ,2020-03-09,7950.68017578125,8243.3095703125,7943.16015625,7957.93017578125,4554110000
NASDAQ,2020-03-10,8344.25,8347.400390625,7930.43017578125,8219.759765625,4447260000
NASDAQ,2020-03-11,7952.0498046875,8181.35986328125,7850.9501953125,8136.25,4302610000
NASDAQ,2020-03-12,7201.7998046875,7712.330078125,7194.669921875,7398.580078125,5099350000
NASDAQ,2020-03-13,7874.8798828125,7875.93017578125,7219.08984375,7610.39013671875,4701070000
NASDAQ,2020-03-16,6904.58984375,7422.2001953125,6882.85986328125,7392.72998046875,4618120000
NASDAQ,2020-03-17,7334.77978515625,7406.22998046875,6828.91015625,7072.0,4920210000
NASDAQ,2020-03-18,6989.83984375,7182.830078125,6686.35986328125,6902.31982421875,4935000000
NASDAQ,2020-03-19,7150.580078125,7341.3798828125,6858.3798828125,6996.4501953125,4778490000
NASDAQ,2020-03-20,6879.52001953125,7354.43994140625,6854.669921875,7248.06982421875,5260300000
NASDAQ,2020-03-23,6860.669921875,6984.93994140625,6631.419921875,6847.27978515625,4348410000
NASDAQ,2020-03-24,7417.85986328125,7418.3701171875,7169.85986328125,7196.14990234375,4441080000
NASDAQ,2020-03-25,7384.2998046875,7671.2099609375,7276.39990234375,7421.35986328125,4683630000
NASDAQ,2020-03-26,7797.5400390625,7809.830078125,7462.2099609375,7462.2099609375,4014670000
NASDAQ,2020-03-27,7502.3798828125,7716.240234375,7491.14013671875,7554.25,3989120000
NASDAQ,2020-03-30,7774.14990234375,7784.35009765625,7539.97021484375,7583.4599609375,3870770000
